** VARIABLE U from map-series(3) ELEMENT U1(112) REAL     *4
**    NROW       NCOL     NPLANE
XXXX
       112          3          1
 8.332747e-001  8.332724e-001  8.332728e-001 
 8.333856e-001  8.333814e-001  8.333806e-001 
 8.334939e-001  8.334873e-001  8.334856e-001 
 8.335974e-001  8.335885e-001  8.335858e-001 
 8.336943e-001  8.336832e-001  8.336796e-001 
 8.337831e-001  8.337699e-001  8.337654e-001 
 8.338619e-001  8.338470e-001  8.338417e-001 
 8.339292e-001  8.339127e-001  8.339066e-001 
 8.339828e-001  8.339649e-001  8.339581e-001 
 8.340204e-001  8.340014e-001  8.339940e-001 
 8.340395e-001  8.340196e-001  8.340116e-001 
 8.340371e-001  8.340166e-001  8.340081e-001 
 8.340099e-001  8.339891e-001  8.339801e-001 
 8.339537e-001  8.339329e-001  8.339235e-001 
 8.338641e-001  8.338436e-001  8.338340e-001 
 8.337355e-001  8.337156e-001  8.337058e-001 
 8.335615e-001  8.335428e-001  8.335329e-001 
 8.333347e-001  8.333173e-001  8.333075e-001 
 8.330460e-001  8.330306e-001  8.330209e-001 
 8.326846e-001  8.326715e-001  8.326622e-001 
 8.322380e-001  8.322278e-001  8.322189e-001 
 8.316904e-001  8.316835e-001  8.316752e-001 
 8.310234e-001  8.310206e-001  8.310130e-001 
 8.302140e-001  8.302158e-001  8.302091e-001 
 8.292346e-001  8.292418e-001  8.292363e-001 
 8.280504e-001  8.280637e-001  8.280596e-001 
 8.266186e-001  8.266393e-001  8.266367e-001 
 8.248847e-001  8.249139e-001  8.249130e-001 
 8.227797e-001  8.228193e-001  8.228204e-001 
 8.202136e-001  8.202659e-001  8.202692e-001 
 8.170687e-001  8.171371e-001  8.171430e-001 
 8.131865e-001  8.132758e-001  8.132843e-001 
 8.083504e-001  8.084677e-001  8.084794e-001 
 8.022580e-001  8.024133e-001  8.024281e-001 
 7.944794e-001  7.946839e-001  7.947022e-001 
 7.844049e-001  7.846588e-001  7.846808e-001 
 7.712106e-001  7.714483e-001  7.714741e-001 
 7.540651e-001  7.539401e-001  7.539698e-001 
 7.637879e-001  7.637082e-001  7.637414e-001 
 7.717426e-001  7.717939e-001  7.718304e-001 
 7.778905e-001  7.780397e-001  7.780793e-001 
 7.827789e-001  7.829855e-001  7.830279e-001 
 7.867689e-001  7.870041e-001  7.870492e-001 
 7.900967e-001  7.903441e-001  7.903917e-001 
 7.929202e-001  7.931706e-001  7.932207e-001 
 7.953516e-001  7.956014e-001  7.956536e-001 
 7.974710e-001  7.977184e-001  7.977727e-001 
 7.993395e-001  7.995844e-001  7.996407e-001 
 8.010026e-001  8.012452e-001  8.013031e-001 
 8.024967e-001  8.027377e-001  8.027971e-001 
 8.038501e-001  8.040895e-001  8.041504e-001 
 8.050856e-001  8.053241e-001  8.053863e-001 
 8.062217e-001  8.064594e-001  8.065227e-001 
 8.072737e-001  8.075109e-001  8.075752e-001 
 8.082540e-001  8.084905e-001  8.085557e-001 
 8.091729e-001  8.094088e-001  8.094748e-001 
 8.100390e-001  8.102742e-001  8.103408e-001 
 8.108594e-001  8.110939e-001  8.111610e-001 
 8.116402e-001  8.118738e-001  8.119413e-001 
 8.123863e-001  8.126188e-001  8.126866e-001 
 8.131018e-001  8.133331e-001  8.134011e-001 
 8.137904e-001  8.140203e-001  8.140883e-001 
 8.144549e-001  8.146833e-001  8.147513e-001 
 8.150978e-001  8.153245e-001  8.153924e-001 
 8.157213e-001  8.159460e-001  8.160138e-001 
 8.163269e-001  8.165497e-001  8.166173e-001 
 8.169163e-001  8.171370e-001  8.172042e-001 
 8.174908e-001  8.177091e-001  8.177759e-001 
 8.180512e-001  8.182672e-001  8.183335e-001 
 8.185987e-001  8.188121e-001  8.188779e-001 
 8.191339e-001  8.193446e-001  8.194098e-001 
 8.196574e-001  8.198655e-001  8.199300e-001 
 8.201700e-001  8.203752e-001  8.204390e-001 
 8.206719e-001  8.208742e-001  8.209373e-001 
 8.211638e-001  8.213631e-001  8.214253e-001 
 8.216459e-001  8.218421e-001  8.219035e-001 
 8.221185e-001  8.223115e-001  8.223721e-001 
 8.225820e-001  8.227718e-001  8.228315e-001 
 8.230366e-001  8.232231e-001  8.232819e-001 
 8.234825e-001  8.236657e-001  8.237234e-001 
 8.239199e-001  8.240997e-001  8.241565e-001 
 8.243489e-001  8.245254e-001  8.245812e-001 
 8.247699e-001  8.249428e-001  8.249977e-001 
 8.251827e-001  8.253523e-001  8.254062e-001 
 8.255877e-001  8.257538e-001  8.258067e-001 
 8.259849e-001  8.261476e-001  8.261995e-001 
 8.263744e-001  8.265337e-001  8.265846e-001 
 8.267564e-001  8.269122e-001  8.269621e-001 
 8.271308e-001  8.272832e-001  8.273321e-001 
 8.274978e-001  8.276469e-001  8.276948e-001 
 8.278574e-001  8.280032e-001  8.280503e-001 
 8.282098e-001  8.283522e-001  8.283984e-001 
 8.285549e-001  8.286941e-001  8.287395e-001 
 8.288928e-001  8.290288e-001  8.290734e-001 
 8.292236e-001  8.293566e-001  8.294004e-001 
 8.295473e-001  8.296773e-001  8.297203e-001 
 8.298640e-001  8.299910e-001  8.300334e-001 
 8.301736e-001  8.302979e-001  8.303397e-001 
 8.304764e-001  8.305980e-001  8.306392e-001 
 8.307723e-001  8.308913e-001  8.309320e-001 
 8.310614e-001  8.311778e-001  8.312182e-001 
 8.313438e-001  8.314578e-001  8.314979e-001 
 8.316196e-001  8.317313e-001  8.317712e-001 
 8.318890e-001  8.319985e-001  8.320382e-001 
 8.321522e-001  8.322595e-001  8.322991e-001 
 8.324093e-001  8.325144e-001  8.325541e-001 
 8.326606e-001  8.327636e-001  8.328034e-001 
 8.329064e-001  8.330072e-001  8.330473e-001 
 8.331471e-001  8.332456e-001  8.332860e-001 
 8.333830e-001  8.334789e-001  8.335196e-001 
 8.336142e-001  8.337067e-001  8.337480e-001 
 0.000000e+000  0.000000e+000  0.000000e+000 
